protein1	protein2	combined_score
GENE_0107	GENE_0108	588
GENE_0180	GENE_0168	461
NF2	GENE_0116	416
GENE_0022	GENE_0126	504
GENE_0080	GENE_0063	887
GENE_0163	GENE_0122	998
GENE_0044	GENE_0026	216
GENE_0062	GENE_0014	921
CHEK2	GENE_0025	480
NF2	GENE_0093	259
RET	GENE_0034	327
GENE_0195	GENE_0003	210
GENE_0050	FANCA	185
BRCA1	GENE_0060	506
GENE_0084	GENE_0080	746
GENE_0084	GENE_0131	895
GENE_0101	GENE_0186	483
GENE_0009	GENE_0149	417
GENE_0165	GENE_0044	153
GENE_0059	GENE_0001	218
GENE_0138	BARD1	536
GENE_0061	GENE_0052	663
GENE_0172	GENE_0159	396
GENE_0067	GENE_0059	618
GENE_0054	GENE_0149	396
GENE_0139	GENE_0040	931
GENE_0033	GENE_0112	906
GENE_0152	GENE_0175	797
GENE_0141	GENE_0053	779
GENE_0073	FANCD2	186
GENE_0176	GENE_0002	305
GENE_0185	GENE_0171	832
GENE_0011	GENE_0148	394
GENE_0105	GENE_0001	320
GENE_0002	GENE_0025	181
GENE_0022	GENE_0124	772
GENE_0090	GENE_0184	486
GENE_0132	GENE_0092	813
SMAD4	GENE_0135	670
GENE_0196	GENE_0144	412
GENE_0165	GENE_0002	747
GENE_0039	GENE_0104	290
VHL	GENE_0068	191
GENE_0070	GENE_0169	381
GENE_0166	STK11	297
GENE_0077	GENE_0049	866
GENE_0073	GENE_0125	391
GENE_0180	GENE_0096	859
GENE_0182	GENE_0124	453
STK11	GENE_0141	874
GENE_0017	GENE_0168	173
GENE_0014	GENE_0123	970
GENE_0012	BRCA2	328
GENE_0176	BRCA2	474
GENE_0199	GENE_0083	972
GENE_0183	GENE_0006	240
GENE_0066	GENE_0152	814
GENE_0156	TP53	228
CHEK2	GENE_0056	579
TSC2	GENE_0078	645
GENE_0006	GENE_0004	489
TSC1	GENE_0055	272
GENE_0024	GENE_0072	251
GENE_0020	GENE_0057	675
GENE_0073	TP53	680
GENE_0156	GENE_0030	848
GENE_0146	GENE_0157	438
GENE_0040	GENE_0169	758
GENE_0144	GENE_0125	963
GENE_0079	GENE_0035	828
GENE_0029	GENE_0180	987
GENE_0104	GENE_0173	575
GENE_0021	GENE_0100	564
GENE_0180	GENE_0022	839
GENE_0130	GENE_0054	665
GENE_0053	GENE_0031	243
GENE_0054	GENE_0014	390
GENE_0084	EPCAM	591
GENE_0064	GENE_0126	369
STK11	PALB2	506
GENE_0181	GENE_0021	825
GENE_0125	GENE_0104	926
GENE_0083	GENE_0117	870
GENE_0151	GENE_0098	808
GENE_0156	GENE_0023	634
GENE_0080	GENE_0175	782
CDH1	GENE_0147	335
GENE_0146	GENE_0027	701
GENE_0116	GENE_0008	230
GENE_0100	GENE_0198	279
GENE_0053	GENE_0192	416
GENE_0007	FANCD2	504
MEN1	GENE_0094	986
PTEN	GENE_0149	598
GENE_0010	GENE_0054	242
TP53	GENE_0078	304
GENE_0098	MEN1	681
CDH1	GENE_0091	737
GENE_0034	GENE_0108	672
RAD51D	GENE_0090	237
GENE_0146	GENE_0112	625
PALB2	GENE_0189	355
GENE_0058	GENE_0042	266
GENE_0074	GENE_0085	667
GENE_0192	GENE_0132	516
GENE_0155	GENE_0167	705
GENE_0000	GENE_0196	521
GENE_0002	GENE_0128	560
GENE_0003	GENE_0189	691
GENE_0111	GENE_0169	789
GENE_0121	GENE_0019	773
GENE_0175	GENE_0104	895
GENE_0152	GENE_0108	871
GENE_0131	GENE_0007	841
GENE_0171	GENE_0112	901
GENE_0020	GENE_0125	684
GENE_0106	RECQL	797
GENE_0160	GENE_0111	635
EPCAM	GENE_0182	439
GENE_0101	GENE_0131	529
GENE_0179	GENE_0053	460
GENE_0075	GENE_0054	743
GENE_0146	MLH1	421
GENE_0198	BRIP1	647
GENE_0009	GENE_0103	244
GENE_0059	GENE_0166	803
GENE_0151	EPCAM	484
GENE_0105	GENE_0047	497
GENE_0117	GENE_0025	688
GENE_0125	GENE_0022	379
GENE_0052	GENE_0082	954
GENE_0180	TP53	511
GENE_0199	GENE_0128	720
GENE_0184	GENE_0108	986
GENE_0077	GENE_0117	820
GENE_0060	GENE_0112	917
GENE_0086	GENE_0163	604
GENE_0104	GENE_0107	330
GENE_0172	GENE_0101	332
GENE_0096	GENE_0080	961
GENE_0164	GENE_0196	456
GENE_0096	GENE_0196	244
GENE_0071	GENE_0192	575
BRIP1	GENE_0090	537
GENE_0085	GENE_0072	372
GENE_0087	GENE_0145	179
GENE_0032	GENE_0168	334
GENE_0026	GENE_0156	961
GENE_0061	GENE_0085	796
GENE_0056	GENE_0084	633
GENE_0149	BRCA2	486
CHEK2	GENE_0003	587
GENE_0101	GENE_0004	470
GENE_0013	GENE_0063	746
GENE_0173	GENE_0196	601
GENE_0008	CDH1	764
GENE_0157	GENE_0070	735
GENE_0016	GENE_0116	453
GENE_0090	GENE_0132	745
GENE_0091	NBN	288
GENE_0087	GENE_0093	229
GENE_0045	GENE_0083	556
GENE_0098	GENE_0093	773
GENE_0045	SMAD4	808
GENE_0103	GENE_0114	260
GENE_0177	GENE_0126	731
GENE_0121	GENE_0149	866
GENE_0149	GENE_0065	322
GENE_0063	GENE_0145	808
TP53	GENE_0036	333
GENE_0064	GENE_0062	920
GENE_0192	GENE_0158	421
GENE_0116	GENE_0058	430
GENE_0023	GENE_0162	570
GENE_0060	GENE_0158	784
GENE_0035	GENE_0042	754
BRIP1	GENE_0127	439
GENE_0173	GENE_0063	779
TSC1	GENE_0088	418
GENE_0075	GENE_0166	960
GENE_0085	GENE_0188	383
GENE_0018	GENE_0092	540
GENE_0031	GENE_0068	977
GENE_0009	GENE_0175	170
BRIP1	GENE_0013	777
GENE_0003	GENE_0098	720
GENE_0112	GENE_0008	342
GENE_0019	BRIP1	949
GENE_0136	GENE_0021	247
PTEN	GENE_0144	600
GENE_0075	NF2	237
GENE_0023	GENE_0144	895
GENE_0110	GENE_0042	825
GENE_0008	GENE_0122	471
GENE_0042	GENE_0178	231
GENE_0053	GENE_0082	889
GENE_0147	TSC2	500
GENE_0027	GENE_0087	806
GENE_0021	GENE_0060	353
GENE_0167	GENE_0198	185
GENE_0181	GENE_0083	569
GENE_0097	GENE_0176	160
BARD1	GENE_0194	855
GENE_0091	GENE_0160	850
GENE_0110	GENE_0024	723
GENE_0016	NBN	931
RET	GENE_0035	204
GENE_0009	GENE_0083	666
GENE_0057	RET	236
GENE_0018	NBN	327
GENE_0042	GENE_0130	851
GENE_0196	GENE_0130	314
GENE_0131	GENE_0166	727
GENE_0114	GENE_0058	673
GENE_0183	GENE_0052	875
GENE_0034	GENE_0160	155
GENE_0137	GENE_0067	525
GENE_0136	GENE_0169	638
GENE_0188	GENE_0165	819
GENE_0003	GENE_0112	347
GENE_0168	GENE_0033	911
GENE_0104	GENE_0053	347
GENE_0157	GENE_0176	303
GENE_0047	CDH1	966
GENE_0053	GENE_0150	358
PALB2	GENE_0086	901
GENE_0143	GENE_0171	641
GENE_0088	GENE_0105	674
GENE_0067	GENE_0049	665
GENE_0105	TSC2	899
GENE_0117	GENE_0056	493
GENE_0025	MLH1	693
BRIP1	GENE_0055	961
GENE_0136	GENE_0006	637
GENE_0113	GENE_0141	380
GENE_0070	GENE_0154	510
GENE_0095	GENE_0159	155
GENE_0095	GENE_0143	811
FANCD2	GENE_0088	754
GENE_0126	GENE_0019	417
GENE_0098	GENE_0122	166
RAD51D	GENE_0142	383
GENE_0038	GENE_0007	978
GENE_0027	GENE_0198	900
GENE_0052	GENE_0031	698
GENE_0082	GENE_0080	340
GENE_0034	PTEN	858
GENE_0055	GENE_0120	156
GENE_0165	GENE_0122	429
GENE_0122	GENE_0073	159
RAD51D	GENE_0052	393
NF2	GENE_0057	949
GENE_0162	GENE_0031	731
GENE_0041	EPCAM	890
GENE_0092	GENE_0067	966
RECQL	GENE_0142	231
GENE_0156	GENE_0196	442
GENE_0021	GENE_0157	381
STK11	BRCA1	529
GENE_0115	GENE_0110	882
FANCD2	GENE_0036	202
GENE_0100	GENE_0146	398
GENE_0152	GENE_0027	525
GENE_0187	GENE_0025	772
GENE_0064	GENE_0043	244
GENE_0081	BRIP1	450
GENE_0149	GENE_0103	190
GENE_0089	GENE_0032	199
GENE_0194	CDH1	574
GENE_0080	GENE_0139	766
GENE_0128	GENE_0177	590
GENE_0146	GENE_0106	521
GENE_0171	GENE_0158	920
GENE_0151	GENE_0142	251
GENE_0158	GENE_0181	658
GENE_0057	GENE_0147	264
GENE_0077	GENE_0154	429
RAD51C	GENE_0016	226
GENE_0124	GENE_0028	247
GENE_0105	GENE_0184	151
GENE_0133	GENE_0062	407
GENE_0004	GENE_0107	862
GENE_0035	GENE_0186	670
GENE_0001	BARD1	896
GENE_0126	GENE_0187	357
GENE_0142	GENE_0199	806
GENE_0184	GENE_0133	989
GENE_0070	GENE_0124	619
GENE_0072	BRCA1	326
GENE_0069	GENE_0148	334
RECQL	GENE_0089	330
GENE_0015	GENE_0198	317
BARD1	TP53	580
GENE_0146	GENE_0185	596
GENE_0142	SMAD4	175
GENE_0149	GENE_0183	793
GENE_0191	GENE_0093	208
GENE_0066	GENE_0068	317
GENE_0010	GENE_0124	906
GENE_0040	GENE_0057	551
GENE_0163	GENE_0161	904
GENE_0020	GENE_0042	492
GENE_0003	GENE_0058	296
GENE_0037	GENE_0093	240
GENE_0170	GENE_0107	842
GENE_0047	GENE_0059	873
GENE_0087	GENE_0117	601
GENE_0143	GENE_0022	539
GENE_0116	GENE_0005	718
GENE_0187	PTEN	769
GENE_0114	GENE_0095	257
GENE_0029	GENE_0009	992
GENE_0038	GENE_0187	943
GENE_0096	GENE_0025	202
MEN1	GENE_0015	442
GENE_0157	GENE_0090	279
GENE_0196	GENE_0020	714
GENE_0015	GENE_0124	647
GENE_0123	GENE_0032	547
GENE_0175	GENE_0076	249
GENE_0091	GENE_0163	499
GENE_0071	GENE_0016	539
GENE_0065	GENE_0100	588
GENE_0161	GENE_0069	474
GENE_0101	GENE_0146	154
GENE_0031	GENE_0152	189
MLH1	GENE_0015	654
GENE_0171	GENE_0066	994
GENE_0065	GENE_0083	287
GENE_0038	GENE_0026	574
GENE_0084	GENE_0188	400
GENE_0088	GENE_0002	345
GENE_0109	CHEK2	995
BRCA2	GENE_0129	357
GENE_0052	GENE_0030	174
TSC1	GENE_0065	280
GENE_0096	ATM	236
GENE_0098	GENE_0143	755
BARD1	GENE_0120	720
GENE_0086	GENE_0107	336
GENE_0131	GENE_0008	538
GENE_0018	GENE_0118	338
GENE_0124	GENE_0007	432
GENE_0070	GENE_0141	228
GENE_0172	MSH2	663
GENE_0109	GENE_0033	920
GENE_0038	STK11	634
GENE_0065	GENE_0124	968
GENE_0019	GENE_0174	555
GENE_0156	GENE_0151	976
GENE_0143	GENE_0077	743
GENE_0139	GENE_0186	640
GENE_0144	GENE_0097	973
GENE_0051	GENE_0195	510
GENE_0053	GENE_0092	424
GENE_0026	GENE_0190	849
GENE_0185	GENE_0192	153
FANCA	BRCA2	879
RAD51C	GENE_0104	317
GENE_0036	GENE_0032	748
GENE_0063	GENE_0077	569
GENE_0069	GENE_0130	842
RAD51D	MSH2	285
GENE_0155	GENE_0132	226
GENE_0028	GENE_0046	514
GENE_0116	GENE_0088	454
GENE_0192	GENE_0161	979
GENE_0198	GENE_0131	678
GENE_0148	MSH2	575
GENE_0048	RET	558
GENE_0174	GENE_0157	908
GENE_0050	GENE_0066	423
GENE_0182	MEN1	812
GENE_0006	GENE_0173	354
GENE_0141	GENE_0160	533
GENE_0143	GENE_0199	282
GENE_0042	GENE_0081	583
TSC1	GENE_0076	462
GENE_0064	GENE_0010	224
GENE_0001	GENE_0122	662
GENE_0176	GENE_0067	540
TP53	GENE_0093	588
GENE_0157	GENE_0011	507
GENE_0089	TSC2	653
GENE_0081	GENE_0186	947
GENE_0011	SMAD4	265
GENE_0171	GENE_0117	866
GENE_0196	GENE_0099	244
GENE_0120	GENE_0002	538
TSC1	GENE_0064	985
GENE_0025	GENE_0076	790
ATM	CDH1	512
GENE_0005	GENE_0140	506
GENE_0114	GENE_0027	388
GENE_0053	GENE_0190	173
GENE_0177	GENE_0185	262
GENE_0160	MLH1	731
GENE_0031	GENE_0167	992
GENE_0040	GENE_0066	412
PTEN	GENE_0084	682
GENE_0165	GENE_0136	214
GENE_0069	GENE_0178	304
GENE_0036	GENE_0180	173
STK11	VHL	269
GENE_0003	GENE_0144	515
GENE_0025	GENE_0087	437
GENE_0165	GENE_0198	710
GENE_0121	GENE_0015	908
GENE_0133	GENE_0110	762
GENE_0068	GENE_0160	435
GENE_0154	GENE_0185	368
APC	GENE_0127	703
GENE_0199	GENE_0049	448
GENE_0163	GENE_0050	180
GENE_0194	GENE_0158	565
GENE_0170	GENE_0191	858
GENE_0009	GENE_0144	335
GENE_0032	GENE_0068	480
GENE_0161	GENE_0057	805
RAD51D	GENE_0108	475
GENE_0058	FANCA	876
GENE_0004	GENE_0072	680
CHEK2	GENE_0040	762
GENE_0095	GENE_0137	233
GENE_0176	GENE_0043	918
GENE_0157	GENE_0065	801
GENE_0159	GENE_0054	424
GENE_0199	PALB2	479
GENE_0073	GENE_0162	815
GENE_0136	GENE_0140	158
GENE_0129	GENE_0174	821
GENE_0146	GENE_0002	717
GENE_0184	GENE_0161	545
GENE_0006	GENE_0178	849
GENE_0130	GENE_0092	457
GENE_0150	GENE_0174	819
GENE_0121	GENE_0104	335
GENE_0107	GENE_0058	735
GENE_0079	RET	702
GENE_0145	SMAD4	889
GENE_0092	GENE_0008	677
GENE_0134	GENE_0092	699
GENE_0134	GENE_0053	711
NF1	GENE_0128	586
GENE_0026	GENE_0027	686
GENE_0035	RAD51C	648
GENE_0195	GENE_0127	309
PTEN	GENE_0157	280
GENE_0066	GENE_0123	490
GENE_0128	GENE_0088	698
GENE_0098	GENE_0194	826
ATM	GENE_0127	416
GENE_0143	RAD51D	700
GENE_0185	GENE_0079	879
GENE_0171	GENE_0008	838
GENE_0103	GENE_0050	613
GENE_0046	GENE_0156	997
GENE_0052	GENE_0190	307
GENE_0054	GENE_0108	232
GENE_0185	GENE_0094	730
GENE_0043	GENE_0060	158
GENE_0050	GENE_0124	856
GENE_0157	GENE_0079	609
GENE_0055	GENE_0103	889
GENE_0054	GENE_0164	551
GENE_0063	GENE_0073	372
GENE_0159	GENE_0004	382
GENE_0178	GENE_0158	207
GENE_0036	GENE_0144	716
GENE_0032	GENE_0162	644
GENE_0178	GENE_0104	920
GENE_0195	MUTYH	983
GENE_0046	GENE_0073	525
GENE_0017	GENE_0071	718
GENE_0058	GENE_0195	621
GENE_0047	GENE_0094	434
GENE_0020	GENE_0046	435
GENE_0113	GENE_0182	429
GENE_0133	GENE_0048	723
GENE_0052	GENE_0059	176
GENE_0085	BRCA1	244
GENE_0119	BRCA1	959
GENE_0153	GENE_0119	648
GENE_0143	TP53	525
GENE_0100	BARD1	719
GENE_0179	GENE_0152	585
GENE_0109	GENE_0068	852
GENE_0145	GENE_0135	670
GENE_0108	GENE_0079	593
NF1	GENE_0022	684
GENE_0127	GENE_0109	595
GENE_0142	GENE_0162	201
GENE_0081	GENE_0156	490
TP53	APC	419
GENE_0110	GENE_0161	918
GENE_0176	GENE_0016	631
GENE_0085	GENE_0073	522
GENE_0113	ATM	525
GENE_0061	GENE_0164	758
GENE_0163	GENE_0084	618
GENE_0150	GENE_0047	153
GENE_0161	GENE_0092	685
GENE_0130	GENE_0156	732
GENE_0177	GENE_0184	978
GENE_0171	GENE_0042	293
GENE_0023	GENE_0034	947
GENE_0117	GENE_0010	446
GENE_0120	GENE_0098	350
GENE_0004	GENE_0022	388
GENE_0150	GENE_0097	365
GENE_0163	GENE_0124	394
GENE_0028	GENE_0151	947
GENE_0161	GENE_0131	901
GENE_0150	GENE_0129	572
GENE_0110	GENE_0191	680
GENE_0170	GENE_0073	370
GENE_0114	GENE_0178	877
GENE_0032	GENE_0090	510
GENE_0183	GENE_0086	437
GENE_0015	GENE_0073	152
GENE_0067	GENE_0053	325
GENE_0055	GENE_0086	552
GENE_0183	GENE_0122	699
GENE_0031	GENE_0026	863
GENE_0110	GENE_0154	606
GENE_0198	GENE_0065	718
GENE_0155	GENE_0074	791
GENE_0063	GENE_0006	919
GENE_0101	GENE_0132	673
GENE_0173	GENE_0016	544
GENE_0043	GENE_0023	326
GENE_0198	GENE_0020	500
GENE_0144	GENE_0178	803
GENE_0017	GENE_0020	630
GENE_0053	GENE_0019	816
GENE_0044	GENE_0194	724
MLH1	FANCD2	234
GENE_0191	GENE_0113	534
GENE_0134	GENE_0144	297
GENE_0165	GENE_0184	907
GENE_0133	GENE_0023	281
GENE_0031	GENE_0111	732
GENE_0021	GENE_0121	264
GENE_0011	GENE_0101	681
GENE_0040	GENE_0014	972
GENE_0002	GENE_0015	983
GENE_0028	GENE_0016	575
GENE_0171	GENE_0165	780
GENE_0191	GENE_0123	539
RAD51C	GENE_0114	867
PTEN	GENE_0073	474
GENE_0012	GENE_0064	585
GENE_0155	GENE_0124	152
GENE_0180	GENE_0003	357
GENE_0014	GENE_0059	968
GENE_0031	MSH2	512
GENE_0193	GENE_0035	982
GENE_0102	GENE_0198	308
GENE_0028	GENE_0005	902
GENE_0087	GENE_0139	683
GENE_0070	GENE_0042	562
GENE_0133	GENE_0101	440
SMAD4	GENE_0081	881
GENE_0088	GENE_0144	924
GENE_0095	GENE_0149	441
GENE_0197	GENE_0101	943
GENE_0024	GENE_0091	803
GENE_0026	GENE_0118	388
GENE_0033	GENE_0103	229
GENE_0056	MSH2	229
GENE_0197	GENE_0103	889
GENE_0047	GENE_0197	715
GENE_0123	APC	876
GENE_0059	GENE_0041	261
GENE_0170	GENE_0180	797
GENE_0020	GENE_0086	698
GENE_0017	EPCAM	931
GENE_0142	GENE_0194	995
GENE_0015	GENE_0112	680
GENE_0190	GENE_0037	974
TSC2	GENE_0156	677
GENE_0009	GENE_0044	347
GENE_0165	GENE_0027	849
GENE_0147	TP53	838
GENE_0082	GENE_0180	178
GENE_0042	GENE_0055	424
GENE_0138	GENE_0111	180
ATM	MSH2	298
GENE_0145	GENE_0133	335
GENE_0173	GENE_0012	158
GENE_0022	GENE_0189	476
GENE_0077	GENE_0076	545
GENE_0176	GENE_0196	848
RAD51D	GENE_0123	709
GENE_0040	GENE_0133	527
GENE_0199	GENE_0152	298
PTEN	GENE_0041	249
GENE_0165	GENE_0115	479
GENE_0169	GENE_0174	159
GENE_0126	GENE_0044	941
GENE_0103	SMAD4	940
GENE_0075	GENE_0046	278
GENE_0133	GENE_0196	368
MSH2	RET	771
GENE_0196	GENE_0152	766
GENE_0049	GENE_0024	323
BARD1	GENE_0074	944
GENE_0164	GENE_0063	738
GENE_0185	GENE_0169	990
GENE_0001	GENE_0170	500
GENE_0084	GENE_0102	227
GENE_0022	GENE_0091	985
NBN	SMAD4	201
GENE_0193	GENE_0189	787
GENE_0069	GENE_0152	919
GENE_0162	GENE_0034	836
GENE_0129	GENE_0097	644
GENE_0105	GENE_0087	263
GENE_0051	GENE_0062	187
APC	VHL	340
GENE_0194	GENE_0123	303
SMAD4	GENE_0087	683
GENE_0143	GENE_0087	196
GENE_0119	GENE_0003	195
GENE_0177	GENE_0033	394
GENE_0071	GENE_0067	852
GENE_0133	GENE_0046	902
GENE_0168	GENE_0119	349
GENE_0007	GENE_0146	442
GENE_0117	GENE_0137	208
MLH1	GENE_0132	939
GENE_0016	GENE_0051	808
GENE_0184	GENE_0084	432
GENE_0005	GENE_0173	994
GENE_0107	GENE_0112	404
GENE_0129	CHEK2	728
GENE_0024	GENE_0122	428
GENE_0159	GENE_0060	875
GENE_0150	GENE_0083	443
GENE_0100	GENE_0087	658
GENE_0077	RAD51D	169
GENE_0098	CDH1	979
GENE_0019	GENE_0079	940
GENE_0057	GENE_0104	367
VHL	GENE_0108	567
GENE_0141	GENE_0156	844
NBN	GENE_0141	579
GENE_0165	GENE_0087	355
GENE_0120	GENE_0153	585
FANCD2	GENE_0051	539
GENE_0025	GENE_0074	372
GENE_0199	GENE_0087	863
GENE_0083	BRCA1	576
GENE_0007	RAD51D	625
GENE_0127	GENE_0015	496
GENE_0056	GENE_0123	588
GENE_0177	GENE_0196	393
GENE_0188	GENE_0051	529
GENE_0095	GENE_0141	354
GENE_0157	GENE_0111	961
GENE_0183	GENE_0169	417
GENE_0113	GENE_0029	768
GENE_0043	GENE_0168	638
STK11	GENE_0055	651
GENE_0151	GENE_0125	784
GENE_0105	GENE_0009	664
GENE_0085	GENE_0144	503
GENE_0151	GENE_0175	407
GENE_0142	GENE_0084	888
GENE_0168	GENE_0167	311
GENE_0069	TSC2	325
GENE_0000	GENE_0180	862
MLH1	GENE_0164	754
GENE_0165	NF1	880
GENE_0000	GENE_0193	450
GENE_0140	GENE_0130	673
SMAD4	GENE_0091	305
GENE_0159	GENE_0052	655
TSC2	GENE_0026	364
GENE_0173	GENE_0068	874
GENE_0124	GENE_0090	577
GENE_0094	GENE_0025	156
GENE_0081	GENE_0077	931
GENE_0074	GENE_0180	214
GENE_0176	GENE_0010	231
GENE_0056	GENE_0009	564
GENE_0033	GENE_0146	464
GENE_0099	GENE_0033	825
GENE_0135	VHL	792
GENE_0176	GENE_0070	986
GENE_0008	GENE_0040	234
GENE_0011	GENE_0013	535
CDH1	GENE_0166	937
GENE_0007	GENE_0164	198
GENE_0061	GENE_0041	274
GENE_0048	GENE_0077	949
EPCAM	GENE_0031	802
RECQL	GENE_0188	816
GENE_0010	BARD1	260
GENE_0047	GENE_0130	940
GENE_0166	MUTYH	542
GENE_0146	GENE_0130	874
GENE_0031	GENE_0061	868
TSC2	STK11	204
GENE_0057	GENE_0044	599
GENE_0063	GENE_0170	911
GENE_0040	MEN1	497
GENE_0139	GENE_0025	203
GENE_0167	GENE_0196	827
GENE_0133	GENE_0061	515
GENE_0111	GENE_0003	429
GENE_0114	GENE_0012	827
GENE_0006	GENE_0112	381
GENE_0116	GENE_0046	945
GENE_0136	GENE_0008	645
GENE_0119	GENE_0011	933
GENE_0095	GENE_0060	676
GENE_0044	GENE_0039	482
GENE_0054	STK11	734
GENE_0198	GENE_0199	442
GENE_0193	GENE_0178	707
GENE_0116	MUTYH	605
GENE_0015	GENE_0169	747
GENE_0194	GENE_0052	992
GENE_0152	GENE_0184	916
GENE_0061	GENE_0092	871
GENE_0006	GENE_0142	797
GENE_0011	GENE_0022	806
GENE_0190	GENE_0197	214
GENE_0113	GENE_0122	154
GENE_0060	GENE_0056	545
GENE_0074	GENE_0052	876
CDH1	GENE_0162	798
GENE_0159	GENE_0160	624
GENE_0176	GENE_0119	228
GENE_0138	FANCD2	431
GENE_0180	GENE_0093	399
GENE_0032	GENE_0170	259
GENE_0194	GENE_0129	863
GENE_0130	GENE_0089	637
GENE_0187	GENE_0033	499
GENE_0109	GENE_0071	207
GENE_0069	MLH1	605
GENE_0059	GENE_0162	617
GENE_0040	STK11	279
GENE_0006	GENE_0105	409
GENE_0108	GENE_0094	951
GENE_0189	GENE_0000	408
GENE_0190	TSC2	265
GENE_0052	GENE_0019	938
GENE_0159	GENE_0024	488
GENE_0014	GENE_0044	373
GENE_0178	GENE_0160	281
GENE_0097	GENE_0158	397
GENE_0014	GENE_0104	712
GENE_0039	GENE_0097	387
MLH1	GENE_0127	392
NBN	GENE_0086	514
GENE_0056	GENE_0014	370
GENE_0041	MSH2	172
GENE_0151	MSH2	180
GENE_0169	GENE_0103	299
GENE_0006	GENE_0052	192
GENE_0172	GENE_0019	548
GENE_0022	GENE_0138	993
TSC1	GENE_0032	496
GENE_0126	RET	816
GENE_0060	GENE_0065	879
GENE_0022	GENE_0164	172
GENE_0110	GENE_0138	484
GENE_0079	GENE_0004	736
GENE_0024	GENE_0015	766
GENE_0010	GENE_0162	213
GENE_0183	GENE_0194	282
GENE_0088	GENE_0180	648
GENE_0073	GENE_0120	313
GENE_0171	GENE_0023	653
GENE_0194	GENE_0008	601
GENE_0147	GENE_0073	548
GENE_0067	GENE_0175	798
GENE_0014	GENE_0036	238
GENE_0190	GENE_0044	571
GENE_0000	GENE_0070	844
GENE_0100	GENE_0083	205
BRCA2	GENE_0118	575
GENE_0141	GENE_0086	821
GENE_0130	GENE_0051	646
NF2	GENE_0086	873
GENE_0069	GENE_0128	588
GENE_0171	TSC1	949
GENE_0161	TSC1	390
GENE_0005	GENE_0056	955
GENE_0149	GENE_0049	846
BRIP1	GENE_0191	746
GENE_0185	GENE_0097	999
GENE_0127	MSH2	759
GENE_0152	GENE_0102	601
GENE_0006	GENE_0155	156
GENE_0183	GENE_0051	981
GENE_0173	GENE_0017	320
GENE_0048	PTEN	542
GENE_0025	GENE_0095	839
GENE_0169	GENE_0098	614
GENE_0054	GENE_0137	383
RAD51C	GENE_0124	834
GENE_0068	GENE_0081	511
GENE_0196	GENE_0147	589
GENE_0145	GENE_0033	937
GENE_0166	GENE_0187	948
GENE_0198	GENE_0003	869
SMAD4	GENE_0022	748
GENE_0027	GENE_0043	206
GENE_0121	MUTYH	684
GENE_0043	GENE_0070	252
GENE_0179	GENE_0047	528
GENE_0115	GENE_0082	553
GENE_0039	GENE_0132	590
GENE_0011	BRCA2	814
GENE_0159	EPCAM	489
GENE_0198	GENE_0179	405
GENE_0092	GENE_0063	981
GENE_0003	GENE_0028	967
GENE_0021	GENE_0039	320
NF1	GENE_0146	741
GENE_0062	TP53	166
GENE_0011	GENE_0071	563
GENE_0160	GENE_0139	535
GENE_0148	GENE_0062	360
GENE_0073	GENE_0135	684
GENE_0082	GENE_0154	711
GENE_0196	GENE_0047	899
GENE_0045	GENE_0014	975
GENE_0133	GENE_0036	977
GENE_0139	GENE_0123	499
GENE_0011	GENE_0046	862
GENE_0033	GENE_0060	993
GENE_0141	GENE_0101	868
GENE_0106	NBN	435
GENE_0175	GENE_0156	401
GENE_0152	GENE_0045	178
GENE_0006	CDH1	523
GENE_0141	PALB2	615
GENE_0119	GENE_0013	411
GENE_0114	GENE_0159	191
GENE_0125	GENE_0105	287
GENE_0149	GENE_0123	858
GENE_0000	GENE_0150	930
GENE_0169	GENE_0086	153
GENE_0035	GENE_0055	936
GENE_0043	GENE_0117	494
GENE_0184	GENE_0195	701
TSC1	BARD1	494
GENE_0031	GENE_0097	848
GENE_0194	GENE_0056	863
GENE_0036	GENE_0122	321
GENE_0191	BRCA1	696
GENE_0193	GENE_0046	706
GENE_0036	GENE_0081	280
GENE_0035	GENE_0122	509
GENE_0143	GENE_0054	602
GENE_0163	GENE_0018	951
GENE_0007	CHEK2	749
GENE_0006	FANCA	465
VHL	GENE_0199	698
GENE_0041	GENE_0141	874
GENE_0064	GENE_0133	919
GENE_0130	GENE_0035	364
GENE_0105	GENE_0065	779
GENE_0175	GENE_0027	913
FANCD2	GENE_0004	399
GENE_0150	CDH1	932
GENE_0088	GENE_0184	826
GENE_0180	GENE_0163	720
GENE_0088	GENE_0175	988
GENE_0118	GENE_0012	150
GENE_0003	GENE_0000	946
SMAD4	GENE_0104	825
GENE_0090	GENE_0127	776
VHL	GENE_0128	786
GENE_0102	GENE_0001	777
GENE_0127	MUTYH	286
GENE_0013	GENE_0000	348
GENE_0113	GENE_0000	672
GENE_0154	NBN	211
GENE_0074	TP53	777
RAD51D	GENE_0138	436
GENE_0037	GENE_0107	940
GENE_0045	GENE_0114	967
GENE_0059	GENE_0172	876
GENE_0041	MEN1	520
GENE_0133	GENE_0099	363
GENE_0082	GENE_0083	902
GENE_0064	APC	604
GENE_0108	GENE_0003	289
TP53	GENE_0116	365
GENE_0044	GENE_0113	618
GENE_0069	GENE_0097	463
GENE_0020	MEN1	933
GENE_0032	GENE_0022	572
GENE_0103	GENE_0118	160
RAD51D	GENE_0115	322
GENE_0142	GENE_0067	395
